 ,Area,Mean,Min,Max
293,272,124.022,62,255
294,18,67.111,62,72
295,41,74.829,62,95
296,185,97.838,62,255
297,133,103.549,62,241
298,39,75.256,62,95
299,252,115.103,62,255
300,44,79.000,62,106
301,31,71.129,62,85
302,2,62.000,62,62
303,227,123.815,62,255
304,14,68.286,63,75
305,221,94.670,62,246
306,20,63.150,62,65
307,184,99.413,62,187
308,1,62.000,62,62
309,173,85.387,62,144
