 ,Area,Mean,Min,Max
321,30,9851.067,9267,10840
322,47,11243.149,10638,11937
323,79,10947.519,9916,12048
324,126,22465.714,13596,51042
325,7,12079.429,11329,12665
326,72,10602.639,9979,11569
327,115,21587.643,15116,36091
328,60,10568.917,9918,11258
329,40,12183.725,11528,12699
330,14,10259.500,9900,10526
331,146,25767.096,15068,46370
332,88,29940.080,17698,42330
333,29,9564.172,9120,10152
334,18,9675.889,8949,10122
335,92,20889.989,12241,31284
336,101,17628.089,12642,22600
337,91,18397.374,11977,23179
338,228,18292.294,11358,42760
339,7,9650.429,9483,9792
340,41,11450.878,10449,12247
341,33,9762.061,8894,10275
342,62,10494.339,9636,11220
343,22,10208.227,9812,10533
344,62,19154.016,14348,22911
345,76,10263.579,9563,11613
346,10,9599.100,8971,10440
347,60,11678.750,11125,12284
348,40,9784.800,9171,10457
349,44,11589.591,10836,12522
350,94,20824.021,12385,29401
351,33,11613.394,10911,12746
352,128,44653.609,26655,65535
353,22,9878.864,9423,10470
354,94,24488.351,13181,58444
355,106,28762.528,16738,49447
356,94,25315.489,14114,39129
357,49,11627.163,10891,12112
358,92,10318.978,9434,11134
359,20,10805.500,10266,11401
360,48,11222.667,10391,12859
361,41,10699.463,10205,11413
362,37,9938.297,9388,10473
363,18,10329.389,9829,10525
364,170,33012.012,17349,61262
365,68,11653.588,10501,12737
366,33,10395.273,9484,11040
367,33,9554.758,8914,10462
368,40,10488.750,9719,11100
369,83,17759.217,12975,23247
370,82,20301.220,11600,28353
371,103,21526.835,13625,47041
372,17,10111.471,9519,10561
373,30,11470.067,11052,12241
374,20,9657.650,9362,10064
375,46,11900.196,10812,12769
376,62,10246.226,9542,10987
377,14,9712.643,9363,10356
378,61,10633.967,10012,11510
379,43,10346.977,9443,11038
380,82,38007.232,21102,54907
381,87,26867.862,15075,37705
382,85,10486.318,9511,11245
383,164,33523.165,18156,65535
384,89,9890.820,9023,10509
385,201,23900.010,14264,50761
386,79,10698.177,9834,11316
387,31,17568.194,14511,20688
388,27,12727.630,11782,14043
389,74,11943.027,10056,15371
390,21,11940.381,11192,12609
391,102,25091.235,12819,43749
392,85,18453.447,11847,24479
393,47,31564.511,23216,38142
394,92,11477.391,9964,12685
395,35,9820.000,9201,10438
396,13,12154.692,11601,12772
397,71,21098.380,14216,27835
398,83,19387.458,13257,24565
399,71,10036.634,9391,10931
400,61,13968.852,11215,21173
401,94,26290.521,14297,37252
402,190,21336.947,14205,38685
403,17,13019.706,12210,14138
404,76,14348.684,11632,16534
405,40,9821.375,9371,10331
406,44,9816.386,9183,10222
407,97,33775.825,17300,57617
408,14,10755.786,9850,11816
409,154,22729.740,13303,32594
410,76,39343.526,25714,65535
411,16,14732.750,13779,16069
412,145,18829.800,12553,37698
413,98,24587.847,12838,39539
414,66,10014.485,9538,10808
415,170,22422.729,11224,37793
416,61,10351.672,9711,11094
417,51,10665.529,9956,11494
418,293,34125.294,15297,65535
419,14,11183.857,10363,12218
420,66,9939.970,9413,10644
421,95,15733.863,11340,19126
422,90,11521.844,10383,12604
423,86,20082.733,12444,27031
424,150,16734.333,11019,25228
425,81,9838.296,9290,10545
426,176,15535.665,10882,31067
427,44,9892.682,9332,10532
428,41,10123.707,9431,10674
429,14,10566.071,10266,10973
430,103,30054.515,15146,47087
431,9,9721.222,9232,10173
432,89,11355.775,10313,12496
433,129,50257.736,30051,65535
434,26,9768.500,9225,10157
435,81,26859.815,14721,37785
436,303,33785.512,14352,65535
