 ,Area,Mean,Min,Max
260,95,10625.495,9870,11420
261,55,9658.109,8890,10644
262,62,11266.823,10696,12011
263,24,10777.583,10211,11464
264,35,9870.800,9341,10465
265,64,10588.938,9926,11325
266,2,9773.000,9339,10207
267,59,10051.797,9512,10670
268,38,10672.421,10038,11300
269,44,10219.682,9280,10887
270,40,11004.025,10273,11771
271,52,10427.635,9631,10960
272,39,9524.256,8791,10313
273,42,10255.167,9612,11047
274,62,9693.887,9261,10236
275,85,10327.141,9485,10967
276,64,10331.812,9605,11043
277,63,10810.111,10223,11802
278,43,10976.535,10365,11708
279,43,10024.814,9424,10761
280,80,11700.962,10141,14059
281,59,10281.458,9666,11164
282,21,10158.476,9555,10662
283,15,11630.133,10882,12297
284,27,9808.963,9342,10287
285,47,9450.574,8980,10033
286,34,9850.588,9295,10398
287,22,10832.591,9986,11912
288,91,10248.308,9382,11246
289,10,9500.100,8887,9942
290,47,10119.043,8957,10746
291,36,9642.000,9257,10263
292,60,10424.967,9742,11409
293,75,10241.280,9578,11171
294,33,11923.909,10471,13808
295,17,9970.294,9550,10525
296,52,10908.885,10213,11611
297,66,10333.000,9608,11100
298,18,9683.556,9316,10016
299,25,9922.680,9349,10545
300,26,9642.538,9124,10146
301,43,10225.419,9577,11106
302,60,10159.500,9203,11186
303,15,10258.667,9844,10717
304,15,10004.133,9616,10308
305,16,9849.938,9328,10300
